Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,non_active,cycle_added_unweighted,cycling_increase,potential_demand,cycle_fraction
E02005943,E02005941,44,0,0,0,2,0,0,17,4,19,2,0,3602.4583404123723,0.014684320828365164,0.4318181818181818,0.26400328347286856,23,6.072075519875977,5.441058584577262,24,0.5454545454545454
E02005943,E02005942,80,0,0,0,3,0,1,31,1,41,3,0,3080.405548741078,0.006805665933114999,0.5125,0.3148212940414825,36,11.33356658549337,10.155769565451035,51,0.6375
E02005943,E02005943,84,0,0,0,4,0,2,24,0,21,33,0,0,0.009701158651086722,0.25,0.04245520369600417,30,1.273656110880125,1.1412963315787517,22,0.2619047619047619
E02005943,E02005944,11,0,0,0,3,0,0,7,1,0,0,0,3118.4926466940688,0.017152936587873705,0,0.25771819201319224,11,2.8349001121451147,2.5402940956704825,3,0.2727272727272727
E02005943,E02005945,384,0,0,2,48,1,2,81,25,106,119,0,1384.2714366212645,0.009706803745745847,0.2760416666666667,0.25919449960787055,159,41.211925437651416,36.929135672882964,143,0.3723958333333333
E02005943,E02005946,32,0,0,0,10,0,0,12,1,5,4,0,3335.426598739479,0.01343023261527192,0.15625,0.2749614009952031,23,6.324112222889672,5.666903349200549,11,0.34375
E02005943,E02005947,726,0,0,2,144,1,12,75,21,346,123,2,2602.3320668775627,0.010703306354922722,0.4765840220385675,0.29313978210129343,257,75.33692400003241,67.5078259030602,414,0.5702479338842975
E02005943,E02005948,113,0,0,1,21,1,1,22,8,42,16,1,3568.508113439364,0.012873518892627943,0.37168141592920356,0.27422234139826807,55,15.082228776904744,13.514866554691984,56,0.49557522123893805
E02005943,E02005949,159,0,0,0,26,0,5,30,4,59,34,1,3169.0877689622926,0.010722281455934308,0.3710691823899371,0.29173394427558424,66,19.25444032218856,17.25349717132874,76,0.4779874213836478
E02005943,E02005950,99,0,0,0,12,1,1,31,4,38,12,0,2335.8314737175274,0.016290021710743084,0.3838383838383838,0.2602376170434883,49,12.751643235130926,11.42647809054141,49,0.494949494949495
E02005943,E02005952,143,0,0,0,15,1,6,95,6,17,3,0,4586.1323009750795,0.022186493441968408,0.11888111888111888,0.20362794555254038,123,25.046237302962467,22.443404078648,39,0.2727272727272727
E02005943,E02005953,17,0,0,0,3,0,0,8,1,3,2,0,3349.8745744497755,0.010573303734975625,0.17647058823529413,0.290358413530419,12,3.4843009623650283,3.122208477228274,6,0.35294117647058826
E02005943,E02005954,89,0,0,1,12,0,0,46,1,23,6,0,4643.79043748358,0.009425536330609122,0.25842696629213485,0.26300357624572596,60,15.780214574743557,14.140316881324525,37,0.4157303370786517
E02005943,E02005955,39,0,0,0,1,0,0,22,6,10,0,0,5836.2262424066685,0.014349331660313092,0.2564102564102564,0.1944505793378124,29,5.639066800796559,5.0530486198737945,15,0.38461538461538464
E02005943,E02005956,11,0,0,0,1,0,0,9,0,1,0,0,6691.752827652283,0.009854841589952255,0.09090909090909091,0.1780813070429672,10,1.780813070429672,1.5957489679882424,3,0.2727272727272727
E02005943,E02005957,11,0,0,0,0,0,0,4,0,6,1,0,7639.006178610201,0.01164047943337312,0.5454545454545454,0.13417932575814054,4,0.5367173030325622,0.4809410356635561,6,0.5454545454545454
E02005943,E02005979,28,0,0,0,2,0,0,17,1,7,1,0,6540.691242076442,0.010392153662600472,0.25,0.18225133076699004,20,3.645026615339801,3.2662313391010516,10,0.35714285714285715
E02005944,E02005940,14,0,0,0,4,0,0,4,2,4,0,0,6718.682207858662,0.0093988674034944791,0.2857142857142857,0.17875158758723203,10,1.7875158758723204,1.6017552103307648,6,0.42857142857142855
E02005944,E02005941,43,0,0,0,12,0,0,13,1,14,3,0,6002.015806018428,0.009425536330609122,0.32558139534883723,0.20905790970525115,26,5.43550565233653,4.8706417755107205,19,0.4418604651162791
E02005944,E02005942,42,0,0,0,9,0,2,18,5,5,3,0,5955.022241271034,0.025722466753239578,0.11904761904761904,0.14710261210458067,34,5.001488811555743,4.481728454249914,9,0.21428571428571427
E02005944,E02005943,21,0,0,0,3,0,0,9,1,3,5,0,3119.687985559388,0.025695912106592587,0.14285714285714285,0.21619409376045984,13,2.8105232188859777,2.5184504766478293,6,0.2857142857142857
E02005944,E02005944,53,0,0,0,9,0,0,10,2,2,29,1,0,0.010364788589075384,0.03773584905660377,0.04173455785239826,22,0.9181602727527618,0.822744021830159,3,0.05660377358490566
E02005944,E02005945,524,0,0,0,100,2,4,94,25,75,224,0,1850.0212468545508,0.011562518343149569,0.1431297709923664,0.272933617188861,225,61.410063867493726,55.02826078034179,130,0.2480916030534351
E02005944,E02005946,87,0,0,0,13,0,0,22,0,13,39,0,450.66021113302406,0.018801107557203274,0.14942528735632185,0.12922574364475561,35,4.522901027566446,4.052876052459964,17,0.19540229885057472
E02005944,E02005947,468,0,0,0,247,0,9,90,15,72,35,0,5081.761901899109,0.011010432782694606,0.15384615384615385,0.23894477419974003,361,86.25906348610616,77.29492433721565,149,0.31837606837606836
E02005944,E02005948,64,0,0,0,17,0,1,29,1,14,2,0,5840.57168344733,0.019975691465537092,0.21875,0.1716538052314587,48,8.239382651110018,7.383136714734866,21,0.328125
E02005944,E02005949,197,0,0,1,38,0,1,46,10,59,42,0,1721.748710161946,0.011656523194070229,0.29949238578680204,0.26727007572060457,96,25.65792726917804,22.991526533792467,82,0.41624365482233505
E02005944,E02005950,73,0,0,0,24,0,2,32,3,5,7,0,3500.079309667177,0.015261508691977588,0.0684931506849315,0.26278680937458193,61,16.0299953718495,14.3641401763259,19,0.2602739726027397
E02005944,E02005952,240,0,0,0,18,0,6,151,16,42,3,4,3251.4938089387747,0.012147248206921611,0.175,0.2829746264724521,195,55.180052162128156,49.44567891677028,91,0.37916666666666665
E02005944,E02005953,14,0,0,0,1,0,1,11,0,0,1,0,4444.487408219678,0.016030420968106408,0,0.23619845421375354,13,3.0705799047787963,2.7514817784855796,3,0.21428571428571427
E02005944,E02005954,113,0,0,0,15,1,1,69,8,12,7,0,4749.238585464026,0.020849747018217762,0.10619469026548672,0.20464418055243536,94,19.236552971928923,17.23746869467904,29,0.25663716814159293
E02005944,E02005955,51,0,0,0,4,0,2,36,2,5,2,0,5948.702379553254,0.011813033446884207,0.09803921568627451,0.20079925452144587,44,8.83516719894362,7.917006660511613,13,0.2549019607843137
E02005944,E02005956,55,0,0,0,8,1,3,34,3,2,4,0,5289.035163847012,0.014383029887343482,0.03636363636363636,0.21521805041545214,49,10.545684470357156,9.44976504818766,11,0.2
E02005944,E02005957,15,0,0,0,7,0,0,5,0,1,2,0,6445.090620986716,0.020920795834633077,0.06666666666666667,0.1470201267836204,12,1.7642415214034446,1.580899553023993,3,0.2
E02005944,E02005979,28,0,0,0,10,0,0,12,3,1,2,0,8812.754812084406,0.012774160932332211,0.03571428571428571,0.09193548042638822,25,2.2983870106597055,2.059536040699028,3,0.10714285714285714
