Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02001046,E02001042,12,0,0,1,4,0,1,5,1,0,0,0,4928.593146471151,0.019161691869586807
E02001046,E02001045,107,0,1,0,2,5,2,37,3,1,55,1,1786.3906418223578,0.019929440743723683
E02001046,E02001046,153,0,1,1,21,6,0,56,4,1,63,0,0,0.017063608165710138
E02001046,E02001047,57,0,0,0,8,0,0,24,0,1,24,0,2228.39400814591,0.017999975757601254
E02001046,E02001048,19,0,0,0,0,4,0,11,4,0,0,0,2271.517794360544,0.01991213638889541
E02001046,E02001049,13,0,0,0,4,1,0,6,1,0,1,0,3573.971238520848,0.018966340015538603
E02001046,E02001050,234,0,0,0,34,12,1,99,24,1,62,1,1745.0018792119486,0.019211006950944944
E02001046,E02001051,42,0,0,0,5,1,0,23,5,1,7,0,2506.157339650925,0.015591686105107689
E02001046,E02001052,79,0,0,1,22,0,0,37,6,2,10,1,3004.604739311893,0.018824621937615724
E02001046,E02001053,34,0,0,0,4,0,0,22,3,0,5,0,2952.2023201892525,0.017573420824500675
E02001046,E02001055,46,0,0,0,9,0,2,23,10,1,1,0,4804.883009503468,0.020915318245185856
E02001046,E02001056,11,0,0,0,1,0,0,5,1,0,4,0,6868.387385224562,0.01961145159983728
E02001046,E02001057,25,0,0,0,9,0,0,15,0,0,1,0,6038.724152769372,0.017278171837383255
E02001046,E02001059,64,0,0,0,15,0,0,35,9,1,4,0,6668.022612179795,0.01790719537305565
E02001046,E02001061,18,0,0,0,2,0,0,10,3,0,3,0,8681.885930180004,0.020329719195982292
E02001046,E02001062,63,0,0,0,21,0,0,37,1,2,2,0,8157.319054969679,0.016440765973518685
E02001046,E02001063,12,0,0,0,3,1,0,6,1,1,0,0,8720.676956464724,0.02377847105796643
E02001046,E02001064,31,0,0,0,4,0,1,26,0,0,0,0,9698.815671657096,0.018915753490909664
E02001046,E02001066,45,0,1,0,11,0,0,29,3,0,1,0,9784.46639887179,0.017901331579007584
E02001046,E02001070,12,0,0,0,4,0,0,6,0,1,1,0,10316.986883707441,0.018093878642074117
E02001046,E02001262,14,0,0,0,3,0,0,9,1,0,1,0,10639.342016408207,0.018272131801622318
E02001046,E02006902,266,0,4,0,141,0,0,92,18,5,6,0,5654.361716366189,0.016215542015968767
E02001046,E02006912,167,0,0,2,66,2,2,65,14,2,14,0,7092.829611001402,0.020109948295042215
E02001046,E02006913,97,0,1,0,31,3,0,40,4,9,9,0,3712.195664184971,0.020277962265595053
E02001046,E02006914,39,0,3,0,18,0,0,11,7,0,0,0,7900.509354911656,NaN
E02001046,E02006915,35,0,0,0,5,0,0,17,3,3,7,0,4199.4267158254825,0.02320852837703505
E02001046,E02006917,88,0,1,3,47,0,0,18,8,4,7,0,7354.283164433807,0.022046756196750877
E02001047,E02001045,49,0,0,0,3,3,1,28,3,2,8,1,3798.6771185343696,0.02239176777782557
E02001047,E02001046,61,0,0,0,7,2,0,30,7,1,14,0,2507.896881444417,0.027912071076309785
E02001047,E02001047,175,0,0,2,22,1,1,52,7,3,84,3,0,0.022553833639915862
E02001047,E02001049,55,0,0,0,12,2,0,12,6,0,23,0,1388.5328471819648,0.02109334796197802
E02001047,E02001050,166,0,0,0,54,1,0,84,16,2,9,0,2747.9795537762775,0.030113148915590547
E02001047,E02001051,85,0,0,0,16,0,0,41,9,1,18,0,1843.611463289413,0.027213954581088058
E02001047,E02001052,57,0,0,2,12,2,2,30,4,1,4,0,4608.783047399362,0.022758561133284873
E02001047,E02001053,30,0,0,0,7,1,0,17,4,0,1,0,3668.0721813010464,0.020947410694107108
E02001047,E02001055,64,0,0,0,7,1,1,39,9,2,5,0,3224.4439483371216,0.0197208444294826
E02001047,E02001057,29,0,0,0,5,0,0,20,2,1,1,0,6131.306571404193,0.019666635590451727
E02001047,E02001059,74,0,0,0,13,0,0,52,6,0,3,0,5912.310266842958,0.02366547703397481
E02001047,E02001061,33,0,0,0,6,0,0,23,3,1,0,0,7340.519777617165,0.024008215758361623
E02001047,E02001062,73,0,0,0,22,0,3,40,4,1,3,0,8545.783770176551,0.024353238709014086
E02001047,E02001063,24,0,1,0,8,0,1,11,3,0,0,0,9413.848845264052,0.022405550263553422
E02001047,E02001064,41,0,0,0,2,0,0,33,4,0,2,0,8821.236537836054,0.02713884557499768
E02001047,E02001066,49,0,0,0,17,0,0,26,5,0,1,0,9547.333476121128,0.02269800837550215
