Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02002876,E02002875,56,0,0,0,1,0,0,31,3,2,19,0,1206.454138870291,0.02996935341909591
E02002876,E02002876,141,0,8,0,12,0,0,49,7,1,64,0,0,0.01462343979362534
E02002876,E02002877,20,0,1,0,2,0,0,16,0,1,0,0,3308.774466210922,0.05217577640389692
E02002876,E02002878,15,0,0,0,2,0,0,8,1,0,4,0,1545.94165973286,0.04961881793947929
E02002876,E02002879,73,0,4,0,9,0,0,40,4,0,16,0,2022.5910849010443,0.021799674831595763
E02002876,E02002881,30,0,1,0,4,0,0,17,3,1,4,0,3076.0086763070567,0.014190779091323805
E02002876,E02002882,17,0,0,0,5,0,0,10,0,0,2,0,3745.7036487315513,0.018244457307617618
E02002876,E02002884,48,0,3,0,8,0,0,27,2,1,7,0,2810.205119344853,0.014930741463155265
E02002876,E02002885,67,0,5,2,3,0,0,34,4,4,14,1,2613.5134094671785,0.02090783678523562
E02002876,E02002886,62,0,1,0,5,0,0,42,6,0,8,0,2573.4018552137436,0.018734910487286874
E02002876,E02002887,58,0,0,0,5,2,2,31,5,5,8,0,3645.6585557534927,0.013531428690071524
E02002876,E02002888,25,0,0,0,5,0,0,17,3,0,0,0,5226.934026252113,0.020617521903722142
E02002876,E02002889,97,0,35,0,31,0,0,21,1,3,5,1,3763.205772226629,0.031035808956048485
E02002876,E02002890,133,0,29,0,48,0,1,36,3,4,12,0,4834.5018408826045,0.019208990004441002
E02002876,E02002892,33,0,0,0,7,0,0,13,3,9,1,0,4783.877883327015,NaN
E02002876,E02002893,47,0,1,0,4,2,0,36,1,0,3,0,3766.3448133017705,0.027522604266225117
E02002876,E02002894,15,0,0,0,2,0,1,11,1,0,0,0,4755.542312129356,0.02309789716149101
E02002876,E02002895,79,0,21,0,22,0,0,29,2,2,2,1,4270.786881147614,0.02715825426469113
E02002876,E02002896,67,0,5,0,22,1,1,32,1,4,1,0,6302.856643404877,0.022411564815198088
E02002876,E02002898,168,0,7,0,48,1,1,89,7,10,5,0,5267.411991009138,0.027393359611875657
E02002876,E02002899,43,0,1,0,7,0,0,18,6,7,4,0,6519.622327174864,0.03431928121884823
E02002876,E02006904,317,0,125,0,69,0,2,90,12,7,7,5,5820.365293809678,0.027508597391657383
E02002876,E02006905,92,0,18,0,16,0,0,48,4,2,4,0,6558.505354378775,0.015359608656242939
E02002877,E02002868,12,0,0,0,2,0,0,7,3,0,0,0,5051.247385479355,0.01374308389591518
E02002877,E02002869,27,0,0,0,10,0,0,12,3,2,0,0,5471.19937565443,0.025673751692914297
E02002877,E02002871,22,0,0,0,6,1,0,13,0,2,0,0,4009.231437622015,0.02901075983076902
E02002877,E02002872,25,0,1,0,7,0,0,15,1,1,0,0,5469.113224241169,0.02296286047603806
E02002877,E02002874,123,0,0,0,19,0,0,38,6,9,51,0,1577.9497604620194,0.01798813839147968
E02002877,E02002875,15,0,0,0,1,0,0,11,3,0,0,0,2958.2189222252796,0.02440104442785473
E02002877,E02002876,18,0,0,0,4,0,0,8,0,1,5,0,3308.774466210922,0.031149989996474236
E02002877,E02002877,161,0,0,2,25,0,1,46,3,6,78,0,0,0.017241460674315652
E02002877,E02002879,49,0,0,0,4,0,0,24,2,2,17,0,1286.1833813098774,0.019425973629283926
E02002877,E02002881,24,0,0,0,5,1,0,16,0,2,0,0,6195.4927937921175,0.0240268370596775
