Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002885,E02002892,14,0,0,0,4,0,0,4,2,2,2,0,5420.98495225796,0.021109822276518555,0.14285714285714285,0.0391259582960959,3.6512113460847178,10,0.031141594974734094,0.2110856114540762,2,0.14285714285714285,5.420984952257959,5-6 km,4-6 km
E02002885,E02002893,63,0,3,0,10,1,0,20,2,0,27,0,1394.3229209333244,0.03110485439366326,0,0.03595242936571003,0,36,1.2942874571655612,8.773007918020639,9,0.14285714285714285,1.3943229209333245,1-2 km,0-2 km
E02002885,E02002895,79,0,17,1,14,0,0,17,4,1,25,0,1657.2734716804348,0.02006255999474691,0.012658227848101266,0.03613056169406515,0.3503468325592215,53,1.5020544537937721,10.181305198838297,11,0.13924050632911392,1.6572734716804347,1-2 km,0-2 km
E02002885,E02002896,46,0,5,1,8,0,0,22,1,1,7,1,4029.3719565219326,0.023406212009284586,0.021739130434782608,0.043520403639636156,0.4995158274447556,38,1.169788274675562,7.929120953247136,9,0.1956521739130435,4.029371956521933,4-5 km,4-6 km
E02002885,E02002898,118,0,8,0,44,1,0,30,10,4,21,0,2658.9078651535388,0.02392620176255411,0.03389830508474576,0.042689643006226394,0.7940639156856292,93,2.289646383817976,15.519802609145541,20,0.1694915254237288,2.6589078651535387,2-3 km,2-4 km
E02002885,E02002899,40,0,3,0,7,0,0,14,3,7,6,0,5135.687815126494,0.03963512996909651,0.175,0.044695229072475834,3.915406714131113,27,0.0799779126855285,0.5421105314529462,8,0.2,5.135687815126493,5-6 km,4-6 km
E02002885,E02006835,17,0,3,0,2,0,0,4,5,1,2,0,6324.230785281225,0.03599386630151443,0.058823529411764705,0.03852203398968139,1.5270099555885686,14,0.18713776806388754,1.268467149160657,2,0.11764705882352941,6.324230785281225,6-7 km,6-8 km
E02002885,E02006904,350,0,117,3,75,1,0,42,18,14,75,5,3270.7022071612378,0.027351644778780562,0.04,0.04478576336332866,0.893140967041162,261,6.293877226657919,42.66149257556825,57,0.16285714285714287,3.270702207161238,3-4 km,2-4 km
E02002885,E02006905,85,0,6,1,17,0,1,34,9,5,12,0,4008.8422677303392,0.029671665347759224,0.058823529411764705,0.04514947938866918,1.3028617429977984,68,1.2444034164125535,8.43488126610407,13,0.15294117647058825,4.008842267730339,4-5 km,4-6 km
E02002886,E02002869,31,0,2,0,6,0,0,20,2,0,1,0,5668.978404837093,0.030608392774779284,0,0.04030987343878106,0,30,1.209296203163432,8.196915690443868,8,0.25806451612903225,5.668978404837093,5-6 km,4-6 km
