Area of residence,Area of workplace,potential_demand
E02002890,E02002877,4
E02002890,E02002879,6
E02002890,E02002882,3
E02002890,E02002883,3
E02002890,E02002884,5
E02002890,E02002885,5
E02002890,E02002886,2
E02002890,E02002888,3
E02002890,E02002889,11
E02002890,E02002890,6
E02002890,E02002892,2
E02002890,E02002893,6
E02002890,E02002895,7
E02002890,E02002896,10
E02002890,E02002898,19
E02002890,E02002899,10
E02002890,E02006904,43
E02002890,E02006905,16
E02002891,E02002869,2
E02002891,E02002872,3
E02002891,E02002874,6
E02002891,E02002875,2
E02002891,E02002876,2
E02002891,E02002877,6
E02002891,E02002879,2
E02002891,E02002881,2
E02002891,E02002882,5
E02002891,E02002883,3
E02002891,E02002884,7
E02002891,E02002885,5
E02002891,E02002886,3
E02002891,E02002887,4
E02002891,E02002888,4
E02002891,E02002889,20
E02002891,E02002890,28
E02002891,E02002891,2
E02002891,E02002892,1
E02002891,E02002893,8
E02002891,E02002895,12
E02002891,E02002896,29
E02002891,E02002898,28
E02002891,E02002899,4
E02002891,E02006904,77
E02002891,E02006905,23
E02002892,E02002869,4
E02002892,E02002872,4
E02002892,E02002874,6
E02002892,E02002875,3
E02002892,E02002879,3
E02002892,E02002881,4
E02002892,E02002882,2
E02002892,E02002884,3
E02002892,E02002885,6
E02002892,E02002886,8
E02002892,E02002887,8
E02002892,E02002889,7
E02002892,E02002890,8
E02002892,E02002892,6
E02002892,E02002893,5
E02002892,E02002894,5
E02002892,E02002895,6
E02002892,E02002896,6
E02002892,E02002897,5
E02002892,E02002898,26
E02002892,E02002899,11
E02002892,E02006904,23
E02002892,E02006905,9
E02002893,E02002869,3
E02002893,E02002872,3
E02002893,E02002874,7
E02002893,E02002875,3
E02002893,E02002876,3
E02002893,E02002877,3
E02002893,E02002879,4
E02002893,E02002882,2
E02002893,E02002884,4
E02002893,E02002885,6
E02002893,E02002886,2
E02002893,E02002887,6
E02002893,E02002888,3
E02002893,E02002889,19
E02002893,E02002890,19
E02002893,E02002892,5
E02002893,E02002893,5
E02002893,E02002894,3
E02002893,E02002895,11
E02002893,E02002896,15
E02002893,E02002898,30
E02002893,E02002899,26
E02002893,E02006904,64
E02002893,E02006905,18
E02002894,E02002869,2
E02002894,E02002872,4
E02002894,E02002874,9
E02002894,E02002876,2
E02002894,E02002877,3
E02002894,E02002879,4
E02002894,E02002881,6
E02002894,E02002884,7
E02002894,E02002885,6
E02002894,E02002886,9
E02002894,E02002887,7
E02002894,E02002888,2
E02002894,E02002889,20
E02002894,E02002890,11
E02002894,E02002892,9
E02002894,E02002893,11
E02002894,E02002894,7
E02002894,E02002895,16
E02002894,E02002896,8
E02002894,E02002897,9
E02002894,E02002898,42
E02002894,E02002899,39
E02002894,E02006904,35
E02002894,E02006905,15
E02002895,E02002869,2
E02002895,E02002872,2
E02002895,E02002874,14
E02002895,E02002879,5
E02002895,E02002883,3
E02002895,E02002884,4
E02002895,E02002885,2
E02002895,E02002886,3
E02002895,E02002887,4
E02002895,E02002889,10
E02002895,E02002890,11
E02002895,E02002893,2
E02002895,E02002895,5
E02002895,E02002896,6
E02002895,E02002898,26
E02002895,E02002899,46
E02002895,E02006904,27
E02002895,E02006905,10
E02002896,E02002869,2
E02002896,E02002872,2
E02002896,E02002874,8
E02002896,E02002877,7
E02002896,E02002879,6
E02002896,E02002881,2
E02002896,E02002882,2
E02002896,E02002883,3
E02002896,E02002884,7
E02002896,E02002885,9
E02002896,E02002886,2
E02002896,E02002887,3
E02002896,E02002888,6
E02002896,E02002889,24
E02002896,E02002890,22
E02002896,E02002891,4
E02002896,E02002892,2
E02002896,E02002893,7
E02002896,E02002894,2
E02002896,E02002895,15
E02002896,E02002896,10
E02002896,E02002898,25
E02002896,E02002899,16
E02002896,E02006904,66
E02002896,E02006905,28
E02002897,E02002869,2
E02002897,E02002872,4
E02002897,E02002874,9
E02002897,E02002876,3
E02002897,E02002877,2
E02002897,E02002879,7
E02002897,E02002881,4
E02002897,E02002884,4
E02002897,E02002885,5
E02002897,E02002886,10
E02002897,E02002887,8
E02002897,E02002888,2
E02002897,E02002889,14
E02002897,E02002890,10
E02002897,E02002892,8
E02002897,E02002893,5
E02002897,E02002894,7
E02002897,E02002895,18
E02002897,E02002896,4
E02002897,E02002897,8
E02002897,E02002898,45
E02002897,E02002899,38
E02002897,E02006904,38
E02002897,E02006905,9
E02002898,E02002872,3
E02002898,E02002874,7
E02002898,E02002876,2
E02002898,E02002879,3
E02002898,E02002881,2
E02002898,E02002882,2
E02002898,E02002884,2
E02002898,E02002885,5
E02002898,E02002886,2
E02002898,E02002889,16
E02002898,E02002890,11
E02002898,E02002892,2
E02002898,E02002893,3
E02002898,E02002895,9
E02002898,E02002896,6
E02002898,E02002898,27
E02002898,E02002899,53
E02002898,E02006904,40
E02002898,E02006905,17
E02002899,E02002874,3
E02002899,E02002879,2
E02002899,E02002885,2
E02002899,E02002887,2
E02002899,E02002889,9
E02002899,E02002890,14
E02002899,E02002892,3
E02002899,E02002893,4
E02002899,E02002894,3
E02002899,E02002895,10
E02002899,E02002896,4
E02002899,E02002897,2
E02002899,E02002898,27
E02002899,E02002899,35
E02002899,E02006904,32
E02002899,E02006905,9
E02006834,E02002868,7
E02006834,E02002869,13
E02006834,E02002871,5
E02006834,E02002872,10
E02006834,E02002873,5
E02006834,E02002874,28
E02006834,E02002875,5
E02006834,E02002876,6
E02006834,E02002877,8
E02006834,E02002879,12
E02006834,E02002881,3
E02006834,E02002882,4
E02006834,E02002883,2
E02006834,E02002884,5
E02006834,E02002885,6
E02006834,E02002886,5
E02006834,E02002888,2
E02006834,E02002889,9
E02006834,E02002890,17
E02006834,E02002891,3
E02006834,E02002892,3
E02006834,E02002893,4
E02006834,E02002895,7
E02006834,E02002896,9
E02006834,E02002898,14
E02006834,E02002899,2
E02006834,E02006834,3
E02006834,E02006835,2
E02006834,E02006904,30
E02006834,E02006905,9
E02006835,E02002868,5
E02006835,E02002869,11
E02006835,E02002871,3
E02006835,E02002872,8
E02006835,E02002874,29
E02006835,E02002875,6
E02006835,E02002876,4
E02006835,E02002877,6
E02006835,E02002879,7
E02006835,E02002881,3
E02006835,E02002882,2
E02006835,E02002883,3
E02006835,E02002884,7
E02006835,E02002885,3
E02006835,E02002886,2
E02006835,E02002887,2
E02006835,E02002888,2
E02006835,E02002889,8
E02006835,E02002890,11
E02006835,E02002892,2
E02006835,E02002893,4
E02006835,E02002895,6
E02006835,E02002896,4
E02006835,E02002898,9
E02006835,E02002899,2
E02006835,E02006834,4
E02006835,E02006835,2
E02006835,E02006904,20
E02006835,E02006905,6
E02006904,E02002872,2
E02006904,E02002874,6
E02006904,E02002879,3
E02006904,E02002884,4
E02006904,E02002885,3
E02006904,E02002886,3
E02006904,E02002887,3
E02006904,E02002889,12
E02006904,E02002890,10
E02006904,E02002892,2
E02006904,E02002893,4
E02006904,E02002895,10
E02006904,E02002896,14
E02006904,E02002898,29
E02006904,E02002899,21
E02006904,E02006904,18
E02006904,E02006905,19
E02006905,E02002869,1
E02006905,E02002872,2
E02006905,E02002874,6
E02006905,E02002877,2
E02006905,E02002879,4
E02006905,E02002881,1
E02006905,E02002884,4
E02006905,E02002885,3
E02006905,E02002887,3
E02006905,E02002888,3
E02006905,E02002889,12
E02006905,E02002890,11
E02006905,E02002892,3
E02006905,E02002893,5
E02006905,E02002895,8
E02006905,E02002896,7
E02006905,E02002898,36
E02006905,E02002899,13
E02006905,E02006904,34
E02006905,E02006905,29
