Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02001336,E02001346,27,0,0,0,3,0,1,16,4,3,0,0,Liverpool,Liverpool
E02001336,E02001350,19,0,0,0,10,0,0,7,1,0,1,0,Liverpool,Liverpool
E02001336,E02001360,13,0,0,0,0,0,1,12,0,0,0,0,Liverpool,Liverpool
E02001336,E02001367,12,0,0,0,6,0,0,4,2,0,0,0,Liverpool,Liverpool
E02001336,E02001368,13,0,0,0,6,0,0,7,0,0,0,0,Liverpool,Liverpool
E02001336,E02001372,42,0,1,0,19,1,0,17,2,0,2,0,Liverpool,Liverpool
E02001336,E02001373,24,0,0,1,3,0,0,16,4,0,0,0,Liverpool,Liverpool
E02001336,E02001374,20,0,0,1,6,0,0,12,1,0,0,0,Liverpool,Liverpool
E02001336,E02001377,32,0,0,0,7,0,0,23,1,0,1,0,Liverpool,Liverpool
E02001336,E02001383,21,0,0,2,3,0,1,13,1,0,0,1,Liverpool,Liverpool
E02001336,E02001401,48,0,0,0,9,3,0,11,2,4,19,0,Liverpool,Liverpool
E02001336,E02006932,51,0,0,9,22,2,0,14,1,1,2,0,Liverpool,Liverpool
E02001336,E02006933,47,0,2,5,26,2,0,9,1,0,2,0,Liverpool,Liverpool
E02001336,E02006934,78,0,1,5,37,1,0,29,4,0,1,0,Liverpool,Liverpool
E02001337,E02001332,15,0,0,0,3,1,0,6,2,0,3,0,Liverpool,Liverpool
E02001337,E02001334,20,0,0,0,3,0,0,15,1,0,1,0,Liverpool,Liverpool
E02001337,E02001336,30,0,0,0,3,0,0,21,2,0,4,0,Liverpool,Liverpool
E02001337,E02001337,97,0,0,1,14,6,0,45,7,0,23,1,Liverpool,Liverpool
E02001337,E02001338,16,0,0,1,3,1,0,8,2,0,1,0,Liverpool,Liverpool
E02001337,E02001340,13,0,0,0,3,0,0,7,0,0,3,0,Liverpool,Liverpool
E02001337,E02001341,173,0,0,0,15,4,0,75,12,3,64,0,Liverpool,Liverpool
E02001337,E02001342,118,0,0,0,17,8,0,51,10,5,27,0,Liverpool,Liverpool
E02001337,E02001343,46,0,0,0,2,3,0,21,9,7,4,0,Liverpool,Liverpool
E02001337,E02001346,23,0,0,0,0,0,0,17,5,0,1,0,Liverpool,Liverpool
E02001337,E02001347,11,0,0,0,1,1,0,9,0,0,0,0,Liverpool,Liverpool
E02001337,E02001350,14,0,0,0,1,0,0,12,1,0,0,0,Liverpool,Liverpool
E02001337,E02001354,17,0,0,0,6,0,0,7,2,1,1,0,Liverpool,Liverpool
E02001337,E02001368,17,0,0,2,7,0,0,7,1,0,0,0,Liverpool,Liverpool
E02001337,E02001372,53,0,0,0,8,0,0,39,5,0,1,0,Liverpool,Liverpool
E02001337,E02001373,22,0,0,0,5,0,0,14,2,0,1,0,Liverpool,Liverpool
E02001337,E02001374,19,0,0,3,6,0,0,8,1,1,0,0,Liverpool,Liverpool
E02001337,E02001377,41,0,0,1,11,0,1,24,3,0,1,0,Liverpool,Liverpool
E02001337,E02001383,13,0,0,1,5,0,0,7,0,0,0,0,Liverpool,Liverpool
E02001337,E02001393,13,0,0,0,1,0,0,11,1,0,0,0,Liverpool,Liverpool
E02001337,E02001401,35,0,0,0,2,1,0,19,1,0,12,0,Liverpool,Liverpool
E02001337,E02006932,70,0,0,22,18,0,0,26,3,0,1,0,Liverpool,Liverpool
E02001337,E02006933,57,0,1,15,14,0,0,20,5,0,2,0,Liverpool,Liverpool
