Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,non_active,cycle_added_unweighted,cycling_increase,potential_demand,cycle_fraction
E02001338,E02001336,17,0,0,0,7,0,0,6,0,0,4,0,1767.3590245558225,0.016825273451016372,0,0.027209462843722575,13,0.3537230169683935,1.963275958463204,2,0.11764705882352941
E02001338,E02001337,22,0,0,0,1,1,0,14,2,1,3,0,2700.405184539754,0.011155814786236114,0.045454545454545456,0.026535596462696653,18,0.47764073632853976,2.6510589626127583,4,0.18181818181818182
E02001338,E02001338,95,0,0,1,10,1,0,36,2,1,44,0,0,0.0164548999126293,0.010526315789473684,0.019514481551016424,50,0.9757240775508211,5.415580925344142,6,0.06315789473684211
E02001338,E02001340,23,0,0,0,2,1,0,13,1,0,6,0,2356.9571224399947,0.014104239294707699,0,0.02695352563171624,17,0.4582099357391761,2.5432118002263793,3,0.13043478260869565
E02001338,E02001341,133,0,0,2,15,4,0,52,15,4,41,0,4352.904999063968,0.009767519354618866,0.03007518796992481,0.024804020355402582,88,2.1827537912754273,12.11498216424624,16,0.12030075187969924
E02001338,E02001342,137,0,0,4,10,4,0,55,10,3,51,0,2847.8006813753673,0.007657580604722174,0.021897810218978103,0.026133369705567996,83,2.169069685562144,12.039030997736884,15,0.10948905109489052
E02001338,E02001343,36,0,0,0,9,0,0,16,4,2,5,0,4821.025302523019,0.014100754180289776,0.05555555555555555,0.024542707130198252,29,0.7117385067757493,3.9503765150521333,6,0.16666666666666666
E02001338,E02001346,26,0,0,0,0,0,0,16,7,2,1,0,8238.614815590992,0.011170363815284903,0.07692307692307693,0.019055265316975017,23,0.43827110229042543,2.4325448928669635,4,0.15384615384615385
E02001338,E02001347,15,0,0,1,1,0,0,12,1,0,0,0,8153.203948443816,0.008951454096551898,0,0.019044032493737095,15,0.28566048740605643,1.5855071349719485,2,0.13333333333333333
E02001338,E02001348,12,0,0,1,0,1,0,9,1,0,0,0,9371.997070965816,0.012789298553470827,0,0.017404085187339078,12,0.20884902224806895,1.1591789186984633,1,0.08333333333333333
E02001338,E02001350,13,0,0,0,2,0,0,9,2,0,0,0,4483.704868825281,0.012656251566435042,0,0.02487880950686925,13,0.32342452358930024,1.7951096227278467,2,0.15384615384615385
E02001338,E02001351,11,0,0,0,0,0,0,9,1,1,0,0,6775.151467903914,0.012496071251576705,0.09090909090909091,0.021459240518806814,10,0.21459240518806816,1.1910565322702025,2,0.18181818181818182
E02001338,E02001360,13,0,0,3,1,0,0,9,0,0,0,0,9614.063528302875,0.013404046570444618,0,0.017073611430734124,13,0.22195694859954362,1.2319321053350458,1,0.07692307692307693
E02001338,E02001366,14,0,0,0,8,0,0,6,0,0,0,0,6139.932367383873,0.013977850693221886,0,0.022568240139922983,14,0.31595536195892177,1.753653385063482,2,0.14285714285714285
E02001338,E02001367,15,0,0,1,3,3,0,2,4,1,0,1,3750.0832590309133,0.016034207429349117,0.06666666666666667,0.026067146527609553,14,0.36494005138653374,2.0255340896618215,3,0.2
E02001338,E02001368,15,0,0,0,4,0,0,9,1,0,1,0,11127.328383483555,0.016453122774849536,0,0.015027856896703886,14,0.2103899965538544,1.1677318193072141,1,0.06666666666666667
E02001338,E02001369,11,0,0,1,1,0,0,8,1,0,0,0,9508.1992345362,0.012744466203664819,0,0.0171948326595059,11,0.18914315925456493,1.0498050719313103,1,0.09090909090909091
E02001338,E02001371,12,0,0,0,1,0,0,4,1,0,6,0,884.0556657034763,0.015815868057446895,0,0.026126729684749467,6,0.1567603781084968,0.8700702719820836,1,0.08333333333333333
