MSOA11CD,lon,lat,centroid
E02000159,0.0463588,51.3713201,"c(0.0463588, 51.3713201)"
E02006928,-0.018497597302016194,51.48124109488852,"c(-0.0184975973020162, 51.4812410948885)"
E02006929,0.0086609,51.4891868,"c(0.0086609, 51.4891868)"
E02000066,0.1283295,51.4962517,"c(0.1283295, 51.4962517)"
E02000067,0.1496117,51.4882043,"c(0.1496117, 51.4882043)"
E02000064,-0.20085939469987668,51.56240866842837,"c(-0.200859394699877, 51.5624086684284)"
E02000065,0.12751114119157297,51.50795276472665,"c(0.127511141191573, 51.5079527647267)"
E02000062,-0.21870514735783647,51.56859017004881,"c(-0.218705147357836, 51.5685901700488)"
E02000063,-0.21087390433800468,51.5645255186529,"c(-0.210873904338005, 51.5645255186529)"
E02000060,-0.20829459165952624,51.577960329355854,"c(-0.208294591659526, 51.5779603293559)"
E02000061,-0.1961517970062562,51.57064071125486,"c(-0.196151797006256, 51.5706407112549)"
E02000068,0.17191257619856998,51.48454253899916,"c(0.17191257619857, 51.4845425389992)"
E02000069,0.15848823046591756,51.485176848186995,"c(0.158488230465918, 51.485176848187)"
E02000816,-0.0653323441510405,51.490677940220415,"c(-0.0653323441510405, 51.4906779402204)"
E02000897,0.008671134240873086,51.62012017845727,"c(0.00867113424087309, 51.6201201784573)"
E02000817,-0.05651062469895139,51.49111505851656,"c(-0.0565106246989514, 51.4911150585166)"
E02000896,0.0040793,51.6314656,"c(0.0040793, 51.6314656)"
E02000814,-0.03798158826684357,51.497372134476734,"c(-0.0379815882668436, 51.4973721344767)"
E02000895,-0.009692803809294659,51.63426067635577,"c(-0.00969280380929466, 51.6342606763558)"
E02000815,-0.09452636645915055,51.49730782663193,"c(-0.0945263664591506, 51.4973078266319)"
E02000894,-0.020760022482468856,51.48920119860785,"c(-0.0207600224824689, 51.4892011986079)"
E02000812,-0.08540273147230243,51.49902218215292,"c(-0.0854027314723024, 51.4990221821529)"
E02000893,-0.006126117184841994,51.49222019359517,"c(-0.00612611718484199, 51.4922201935952)"
E02000813,-0.0533208,51.4971449,"c(-0.0533208, 51.4971449)"
E02000810,-0.0687723,51.4983057,"c(-0.0687723, 51.4983057)"
E02000891,-0.007368456445497711,51.505322482935675,"c(-0.00736845644549771, 51.5053224829357)"
E02000890,-0.0585219,51.5057805,"c(-0.0585219, 51.5057805)"
E02000818,-0.0903530597248004,51.491480919103445,"c(-0.0903530597248004, 51.4914809191034)"
E02000899,-0.017406580368485112,51.61837673936877,"c(-0.0174065803684851, 51.6183767393688)"
E02000819,-0.07277145722821392,51.48883516420315,"c(-0.0727714572282139, 51.4888351642032)"
E02000898,-0.0052367,51.6180078,"c(-0.0052367, 51.6180078)"
E02000306,-0.0593248,51.621916,"c(-0.0593248, 51.621916)"
E02000387,-0.2157671829767008,51.48314176635145,"c(-0.215767182976701, 51.4831417663515)"
